UserID,Username,CreationDate,FollowersCount,FollowingCount,BlueTick,Bio,Tweets,Hashtags,TweetCount,AvgTweetsPerDay,FakeFollowersPercentage,FakeFollowersCount,BotLabel,TweetTimestamp,Location
132131,kalaiselvan07,10/3/2017,9986,299,TRUE,?? Automating success! Get exclusive content and tips by following! #MarketingStrategy,Claim your prize now! Visit Check it out here: #viral #trending http://login-secure-verify.bankconfirm.com/user-confirm,"#Sale, #Discount, #BestDeal",8725,3.630878069,71,7090,1,5/2/2024,Adkinston
289683,prasanna,1/6/2019,7584,314,TRUE,Learn life’s hidden hacks! ?? Follow for fresh tips every day! #LifeHacks,Special offer! Get up to 50% off on all items. Shop now! Claim yours at #DealOfTheDay #shopnow http://giftcard-survey.com/win-a-gift,"#Trading, #Crypto, #Finance",8229,4.265940902,82,6219,1,4/18/2024,Sanderston
779715,vasanth,10/15/2021,3919,309,TRUE,?? Hot trends & amazing deals right here! Follow to stay updated! ?? #Trending,Win big! Join our giveaway and stand a chance to win amazing prizes! Claim yours at #tech #innovation #latest http://miracle-cure-health.com/order-today,"#Success, #Motivation, #Inspiration",7377,7.814618644,83,3253,1,5/16/2024,Harrisonfurt
696168,hk10,8/31/2024,3407,613,TRUE,Turn those follows into cash! ??? #Follows #Retweet,Claim your prize now! Visit Visit for more! #Giveaway #Contest http://free-software-hub.com/download-now,"#SpecialDeal, #LimitedTime, #BuyNow",7086,-65.61111111,72,2453,1,5/15/2024,Martinezberg
704441,leomessi10,9/1/2016,650,919,TRUE,Earn cash by following me and retweeting! ??? #Follows #RT4RT,Hurry! Limited time offer! Get up to 70% off! Visit for more! #hurry #flashsale http://quick-cash-growth.com/invest-now,"#Win, #Contest, #Freebie",8184,2.912455516,80,520,1,5/12/2024,Camachoville
570928,ramkumar35,5/9/2024,83,361,TRUE,?? Always on the lookout for new followers! Follow me for tips on living your best life! ?? #LifeGoals,Hurry! Limited time offer! Get up to 70% off! Click here ?? #hurry #flashsale http://exclusive-event-invite.com/register,"#Hurry, #Deal, #ShopNow",7565,-540.3571429,33,27,1,4/25/2024,West Cheyenne
734182,sunil,3/9/2016,9038,826,TRUE,Click here for the best investment tips! ?? Follow for financial freedom! #InvestSmart,Hurry! Limited time offer! Get up to 70% off! Follow us for updates! #news #update #follow http://paypa1-secure.com/login,"#Trends, #News, #Updates",9564,3.197592778,60,5423,1,5/17/2024,South Donald
107312,lesterdaniel,1/27/2021,3002,13,TRUE,Follow to unlock exclusive lifestyle tips! ?? #LifeGoals,Claim your prize now! Visit Check it out here: #Giveaway #Contest http://fileshare-portal.com/download-file,"#Investment, #Wealth, #Money",8269,6.800164474,69,2071,1,5/27/2024,Smithhaven
549888,kimberlymorris,2/6/2016,4757,272,TRUE,?? Master your strategy! Automated success tips await. #MarketingMagic,Don’t miss out on the latest deals! Save now on our exclusive discounts! Check it out here: #DealOfTheDay #shopnow http://limited-time-promo.com/claim-your-gift,"#LifeChange, #Success, #Opportunity",7867,2.639932886,40,1903,1,4/4/2024,Lake Brittanyville
117640,schmittjill,4/27/2015,5864,36,TRUE,Latest in tech & finance delivered! ?? DM for collabs! #PublicRelations,Claim your prize now! Visit Shop now! #DealOfTheDay #shopnow http://login-secure-verify.bankconfirm.com/user-confirm,"#InvestNow, #MakeMoney",7790,2.372829729,41,2404,1,4/22/2024,West Hannahborough
576805,hicksanthony,7/25/2019,2272,230,TRUE,?? Always on the lookout for new followers! Follow me for tips on living your best life! ?? #LifeGoals,Hurry! Limited time offer! Get up to 70% off! Check it out here: #hurry #flashsale http://giftcard-survey.com/win-a-gift,"#Sale, #Discount, #BestDeal",9859,5.611269209,85,1931,1,5/16/2024,Harrisbury
758550,hooperdennis,4/9/2024,4507,883,TRUE,Turn those follows into cash! ??? #Follows #Retweet,Hurry! Limited time offer! Get up to 70% off! Shop now! #luckyday #win #contest http://miracle-cure-health.com/order-today,"#Trading, #Crypto, #Finance",8488,326.4615385,96,4327,1,5/5/2024,Rossmouth
